image name,what we did with it
b03e7db6-ce5d-11eb-b317-38f9d35ea60f.png,delete
b03dbf5c-ce5d-11eb-b317-38f9d35ea60f.png,delete
b05c1808-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
b04fc576-ce5d-11eb-b317-38f9d35ea60f.png,delete
b05f2872-ce5d-11eb-b317-38f9d35ea60f.png,used as label - vi
b06eab08-ce5d-11eb-b317-38f9d35ea60f.png,delete
b08a2702-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
b033b638-ce5d-11eb-b317-38f9d35ea60f.png,delete
b030ba5a-ce5d-11eb-b317-38f9d35ea60f.png,delete
b08eb24a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
b08ad24c-ce5d-11eb-b317-38f9d35ea60f.png,delete
b06fe3d8-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
b07ac172-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
b053b2c6-ce5d-11eb-b317-38f9d35ea60f.png,delete
b042daf0-ce5d-11eb-b317-38f9d35ea60f.png,used as label - i
b058e836-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0669cf6-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0729d62-ce5d-11eb-b317-38f9d35ea60f.png,delete
b04248a6-ce5d-11eb-b317-38f9d35ea60f.png,delete
b034954e-ce5d-11eb-b317-38f9d35ea60f.png,delete
b075323e-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
b0356104-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0735928-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
b0492432-ce5d-11eb-b317-38f9d35ea60f.png,delete
add92238-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
addb9af4-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
ade04432-ce5d-11eb-b317-38f9d35ea60f.png,used as label - vi
adf5ad04-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
adfd451e-ce5d-11eb-b317-38f9d35ea60f.png,delete
ae0aee76-ce5d-11eb-b317-38f9d35ea60f.png,delete
ae2f9c62-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
ae07e118-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iii
ae7ac84a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
ae12eb1c-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
ae09c974-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
ae751ff8-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iii
ae0745aa-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
ae507428-ce5d-11eb-b317-38f9d35ea60f.png,delete
ae482476-ce5d-11eb-b317-38f9d35ea60f.png,delete
ae285998-ce5d-11eb-b317-38f9d35ea60f.png,delete
afb4e51a-ce5d-11eb-b317-38f9d35ea60f.png,delete
afc10ba6-ce5d-11eb-b317-38f9d35ea60f.png,delete
afd99e50-ce5d-11eb-b317-38f9d35ea60f.png,delete
afd7564a-ce5d-11eb-b317-38f9d35ea60f.png,delete
afdd00f4-ce5d-11eb-b317-38f9d35ea60f.png,delete
afe2c354-ce5d-11eb-b317-38f9d35ea60f.png,delete
aff0325a-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0062b82-ce5d-11eb-b317-38f9d35ea60f.png,delete
b02931ea-ce5d-11eb-b317-38f9d35ea60f.png,delete
b0059456-ce5d-11eb-b317-38f9d35ea60f.png,delete
af9d6156-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
afa5ab0e-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
afc8f028-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
afe40e94-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
affd591c-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
b00e684c-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
b00430ca-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
afbd2a68-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
aff41e24-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
b0156f52-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
af1ddfb2-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
af2f5922-ce5d-11eb-b317-38f9d35ea60f.png,delete
af2fef0e-ce5d-11eb-b317-38f9d35ea60f.png,delete
af3a837e-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
af3b0506-ce5d-11eb-b317-38f9d35ea60f.png,delete
af3d0db0-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
af4b6a7c-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
af4eb452-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
af4fe8b8-ce5d-11eb-b317-38f9d35ea60f.png,delete
af5dc294-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
af6c0ae8-ce5d-11eb-b317-38f9d35ea60f.png,delete
af6ca11a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
af6dafb0-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
af7c4732-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
af8b9bba-ce5d-11eb-b317-38f9d35ea60f.png,delete
af8dac70-ce5d-11eb-b317-38f9d35ea60f.png,used as label - vi
af21b484-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
af28ef1a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
af54ac2c-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
af71d1f8-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
af88d308-ce5d-11eb-b317-38f9d35ea60f.png,delete
af209efa-ce5d-11eb-b317-38f9d35ea60f.png,delete
af357f8c-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
af580bba-ce5d-11eb-b317-38f9d35ea60f.png,used as label - v
af644de4-ce5d-11eb-b317-38f9d35ea60f.png,delete
af4670e4-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
af4714b8-ce5d-11eb-b317-38f9d35ea60f.png,delete
af8543fa-ce5d-11eb-b317-38f9d35ea60f.png,delete
af662100-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
aab4f85c-ce5d-11eb-b317-38f9d35ea60f.png,used as label - vii
aab4528a-ce5d-11eb-b317-38f9d35ea60f.png,delete
aab65602-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
aab77122-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
aaba1c60-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
aabf4b04-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
aac5f63e-ce5d-11eb-b317-38f9d35ea60f.png,delete
aac26b40-ce5d-11eb-b317-38f9d35ea60f.png,delete
aac4401e-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
ab1d38ae-ce5d-11eb-b317-38f9d35ea60f.png,delete
ab1e53ba-ce5d-11eb-b317-38f9d35ea60f.png,delete
ab15f102-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
ab23f0b8-ce5d-11eb-b317-38f9d35ea60f.png,delete
ab24bd22-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
ab291c32-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
ab1785a8-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
ab2075be-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
ab2356ee-ce5d-11eb-b317-38f9d35ea60f.png,delete
ac8ceffe-ce5d-11eb-b317-38f9d35ea60f.png,delete
ac9d42a0-ce5d-11eb-b317-38f9d35ea60f.png,used as label - x
aca3b2e8-ce5d-11eb-b317-38f9d35ea60f.png,delete
aca544e6-ce5d-11eb-b317-38f9d35ea60f.png,delete
acaf1e26-ce5d-11eb-b317-38f9d35ea60f.png,delete
acbbe7dc-ce5d-11eb-b317-38f9d35ea60f.png,delete
accee2b0-ce5d-11eb-b317-38f9d35ea60f.png,used as label - vi
acd12034-ce5d-11eb-b317-38f9d35ea60f.png,delete
acdcf062-ce5d-11eb-b317-38f9d35ea60f.png,delete
ad03d60a-ce5d-11eb-b317-38f9d35ea60f.png,delete
ad0fcdfc-ce5d-11eb-b317-38f9d35ea60f.png,delete
ad1a9a16-ce5d-11eb-b317-38f9d35ea60f.png,delete
ad1a0948-ce5d-11eb-b317-38f9d35ea60f.png,delete
ad3dd9fe-ce5d-11eb-b317-38f9d35ea60f.png,used as label - viii
ad4eb472-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iii
ad6def90-ce5d-11eb-b317-38f9d35ea60f.png,delete
ad7c6d22-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
ad7dedc8-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
ad9a139a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
ad18dbae-ce5d-11eb-b317-38f9d35ea60f.png,delete
ad105f2e-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
ad304a78-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iii
ad7040e2-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ix
ad9404f0-ce5d-11eb-b317-38f9d35ea60f.png,delete
ad53785e-ce5d-11eb-b317-38f9d35ea60f.png,delete
ada1001a-ce5d-11eb-b317-38f9d35ea60f.png,used as label - viii
adb07b4e-ce5d-11eb-b317-38f9d35ea60f.png,delete
adb27eb2-ce5d-11eb-b317-38f9d35ea60f.png,delete
adb83398-ce5d-11eb-b317-38f9d35ea60f.png,used as label - iv
adc2d0b4-ce5d-11eb-b317-38f9d35ea60f.png,delete
adc4777a-ce5d-11eb-b317-38f9d35ea60f.png,delete
adcdd5a4-ce5d-11eb-b317-38f9d35ea60f.png,used as label - ii
add4f03c-ce5d-11eb-b317-38f9d35ea60f.png,delete
add4565e-ce5d-11eb-b317-38f9d35ea60f.png,delete
